國文,英文,數學,社會,自然
11,14,6,10,10
11,12,8,13,9
14,8,7,10,6
12,13,11,14,13
8,12,9,8,14
14,15,6,8,12
9,14,13,15,8
9,8,7,13,7
9,14,12,13,8
13,13,15,9,14
15,15,6,15,12
9,6,12,11,12
9,9,14,13,12
6,12,11,10,6
10,9,9,6,8
6,9,9,9,11
13,8,12,13,10
14,12,11,15,7
9,11,7,7,9
14,14,12,12,9
13,9,6,11,15
7,8,13,6,13
14,10,15,15,13
8,7,12,12,10
8,7,10,14,9
12,15,8,13,11
13,8,15,7,13
12,12,10,12,15
6,6,11,12,9
13,14,8,13,14
10,9,9,13,11
12,7,14,8,6
12,14,6,12,12
8,7,6,14,9
11,13,9,14,12
9,10,12,13,13
6,10,14,14,6
11,11,10,13,12
13,11,13,15,6
15,9,13,12,15
12,10,12,12,9
12,10,8,10,11
10,9,11,8,15
6,14,10,7,14
13,12,8,7,12
8,14,7,9,9
6,11,11,15,13
6,12,9,14,12
6,15,9,14,15
12,14,10,8,10
13,9,13,12,10
6,6,15,15,8
15,11,10,11,7
8,8,7,9,14
7,7,12,14,14
13,7,13,13,13
12,15,6,15,15
8,15,13,9,12
6,10,13,14,14
7,13,10,6,13
15,14,13,15,15
11,6,12,12,15
7,9,8,15,14
6,13,10,11,9
9,11,13,8,8
8,9,12,8,14
8,10,8,12,14
6,7,8,6,13
10,8,14,10,14
9,12,14,6,12
14,9,12,14,10
15,7,13,10,11
9,15,7,9,7
14,13,14,7,14
13,13,7,12,12
12,7,10,6,15
14,9,14,14,12
11,14,13,12,15
8,6,7,11,9
14,12,9,7,14
6,15,14,8,8
13,12,13,10,12
14,13,15,15,10
10,13,9,11,14
10,12,6,10,10
12,8,6,9,12
13,13,10,7,8
9,13,6,7,6
13,9,8,10,9
8,6,11,13,11
13,14,6,11,13
7,10,9,9,15
10,8,6,14,7
8,8,7,15,11
9,13,10,8,14
11,9,7,6,15
14,6,9,13,12
6,11,11,13,14
11,8,7,10,14
9,10,10,13,13
